tripduration,starttime,stoptime,start Station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
516,21/09/2015 18:00,21/09/2015 18:08,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,18245,Subscriber,1991,1
437,21/09/2015 18:01,21/09/2015 18:08,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,24625,Subscriber,1981,2
1008,21/09/2015 18:02,21/09/2015 18:19,3206,Hilltop,40.7311689,-74.0575736,3206,Hilltop,40.7311689,-74.0575736,24522,Subscriber,1977,2
295,21/09/2015 18:06,21/09/2015 18:11,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24679,Subscriber,1977,1
376,21/09/2015 18:08,21/09/2015 18:15,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,24443,Subscriber,1982,1
757,21/09/2015 18:09,21/09/2015 18:21,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,24427,Subscriber,1962,1
680,21/09/2015 18:09,21/09/2015 18:20,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24682,Subscriber,1975,2
320,21/09/2015 18:11,21/09/2015 18:16,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,24698,Subscriber,1979,1
587,21/09/2015 18:12,21/09/2015 18:21,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,24422,Subscriber,1960,2
404,21/09/2015 18:13,21/09/2015 18:20,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,24452,Subscriber,1980,1
832,21/09/2015 18:13,21/09/2015 18:27,3186,Grove St PATH,40.71958612,-74.04311746,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24518,Subscriber,1975,1
384,21/09/2015 18:14,21/09/2015 18:20,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,24551,Subscriber,1989,2
238,21/09/2015 18:16,21/09/2015 18:20,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24574,Subscriber,1975,2
